"","value"
"312","(1997-06-21)21 June 1997 (aged 23)"
"313","(1995-01-09)9 January 1995 (aged 26)"
"314","(1992-01-10)10 January 1992 (aged 29)"
"315","(1992-11-10)10 November 1992 (aged 28)"
"316","(1989-02-02)2 February 1989 (aged 32)"
"317","(1996-09-17)17 September 1996 (aged 24)"
"318","(1989-07-05)5 July 1989 (aged 31)"
"319","(1998-06-23)23 June 1998 (aged 22)"
"320","(1994-05-06)6 May 1994 (aged 27)"
"321","(1991-06-19)19 June 1991 (aged 29)"
"322","(1985-09-09)9 September 1985 (aged 35)"
"323","(1992-11-16)16 November 1992 (aged 28)"
"324","(1990-04-03)3 April 1990 (aged 31)"
"325","(1997-10-04)4 October 1997 (aged 23)"
"326","(1991-07-22)22 July 1991 (aged 29)"
"327","(1995-02-09)9 February 1995 (aged 26)"
"328","(1991-06-19)19 June 1991 (aged 29)"
"329","(1993-09-21)21 September 1993 (aged 27)"
"330","(1992-12-29)29 December 1992 (aged 28)"
"331","(1989-02-25)25 February 1989 (aged 32)"
"332","(1994-09-16)16 September 1994 (aged 26)"
"333","(1989-04-29)29 April 1989 (aged 32)"
"334","(1995-08-16)16 August 1995 (aged 25)"
"335","(1993-03-17)17 March 1993 (aged 28)"
"336","(1999-12-10)10 December 1999 (aged 21)"
"337","(2002-01-23)23 January 2002 (aged 19)"
"338","(1998-11-26)26 November 1998 (aged 22)"
"339","(1989-03-29)29 March 1989 (aged 32)"
"340","(1992-04-25)25 April 1992 (aged 29)"
"341","(1989-06-18)18 June 1989 (aged 31)"
"342","(1992-08-06)6 August 1992 (aged 28)"
"343","(1992-08-22)22 August 1992 (aged 28)"
"344","(1993-05-15)15 May 1993 (aged 28)"
"345","(1994-12-03)3 December 1994 (aged 26)"
"346","(1990-08-08)8 August 1990 (aged 30)"
"347","(1993-03-31)31 March 1993 (aged 28)"
"348","(1996-01-24)24 January 1996 (aged 25)"
"349","(1993-03-15)15 March 1993 (aged 28)"
"350","(1993-02-12)12 February 1993 (aged 28)"
"351","(1994-05-04)4 May 1994 (aged 27)"
"352","(1996-01-19)19 January 1996 (aged 25)"
"353","(1995-02-27)27 February 1995 (aged 26)"
"354","(1992-04-21)21 April 1992 (aged 29)"
"355","(2000-11-08)8 November 2000 (aged 20)"
"356","(1991-01-11)11 January 1991 (aged 30)"
"357","(2002-07-25)25 July 2002 (aged 18)"
"358","(1992-05-01)1 May 1992 (aged 29)"
"359","(1998-05-19)19 May 1998 (aged 23)"
"360","(1996-06-03)3 June 1996 (aged 25)"
"361","(1992-08-26)26 August 1992 (aged 28)"
"362","(1989-05-26)26 May 1989 (aged 32)"
"363","(1993-06-24)24 June 1993 (aged 27)"
"364","(1999-05-31)31 May 1999 (aged 22)"
"365","(1994-03-07)7 March 1994 (aged 27)"
"366","(1990-05-28)28 May 1990 (aged 31)"
"367","(1995-07-12)12 July 1995 (aged 25)"
"368","(1999-01-14)14 January 1999 (aged 22)"
"369","(1994-05-28)28 May 1994 (aged 27)"
"370","(1993-03-05)5 March 1993 (aged 28)"
"371","(1995-09-10)10 September 1995 (aged 25)"
"372","(1990-06-17)17 June 1990 (aged 30)"
"373","(1993-07-28)28 July 1993 (aged 27)"
"374","(1994-12-08)8 December 1994 (aged 26)"
"375","(1997-10-31)31 October 1997 (aged 23)"
"376","(1990-09-19)19 September 1990 (aged 30)"
"377","(1997-03-12)12 March 1997 (aged 24)"
"378","(1998-05-14)14 May 1998 (aged 23)"
"379","(1995-12-02)2 December 1995 (aged 25)"
"380","(1993-03-13)13 March 1993 (aged 28)"
"381","(1993-02-25)25 February 1993 (aged 28)"
"382","(2000-03-25)25 March 2000 (aged 21)"
"383","(1997-03-16)16 March 1997 (aged 24)"
"384","(1999-01-10)10 January 1999 (aged 22)"
"385","(2000-05-28)28 May 2000 (aged 21)"
"386","(1996-12-21)21 December 1996 (aged 24)"
"387","(1997-10-08)8 October 1997 (aged 23)"
"388","(1993-03-25)25 March 1993 (aged 28)"
"389","(1999-12-08)8 December 1999 (aged 21)"
"390","(2001-09-05)5 September 2001 (aged 19)"
"391","(2003-06-29)29 June 2003 (aged 17)"
"392","(1985-03-05)5 March 1985 (aged 36)"
"393","(1992-05-11)11 May 1992 (aged 29)"
"394","(1994-03-11)11 March 1994 (aged 27)"
"395","(1996-12-08)8 December 1996 (aged 24)"
"396","(1991-11-20)20 November 1991 (aged 29)"
"397","(1997-06-05)5 June 1997 (aged 24)"
"398","(1994-10-18)18 October 1994 (aged 26)"
"399","(1993-06-14)14 June 1993 (aged 27)"
"400","(1995-10-07)7 October 1995 (aged 25)"
"401","(1996-07-13)13 July 1996 (aged 24)"
"402","(1995-02-22)22 February 1995 (aged 26)"
"403","(1982-12-31)31 December 1982 (aged 38)"
"404","(1997-11-05)5 November 1997 (aged 23)"
"405","(1991-08-24)24 August 1991 (aged 29)"
"406","(1991-02-13)13 February 1991 (aged 30)"
"407","(1991-08-30)30 August 1991 (aged 29)"
"408","(1992-03-30)30 March 1992 (aged 29)"
"409","(1999-07-10)10 July 1999 (aged 21)"
"410","(1997-03-08)8 March 1997 (aged 24)"
"411","(1994-02-24)24 February 1994 (aged 27)"
"412","(1987-09-09)9 September 1987 (aged 33)"
"413","(2001-10-16)16 October 2001 (aged 19)"
"414","(2001-06-11)11 June 2001 (aged 20)"
"415","(1995-05-07)7 May 1995 (aged 26)"
"416","(1991-07-07)7 July 1991 (aged 29)"
"417","(1996-11-12)12 November 1996 (aged 24)"
"418","(1990-04-18)18 April 1990 (aged 31)"
"419","(2000-06-21)21 June 2000 (aged 20)"
"420","(1995-05-20)20 May 1995 (aged 26)"
"421","(1994-06-11)11 June 1994 (aged 27)"
"422","(1996-04-12)12 April 1996 (aged 25)"
"423","(2003-10-16)16 October 2003 (aged 17)"
"424","(1995-02-02)2 February 1995 (aged 26)"
"425","(1988-08-21)21 August 1988 (aged 32)"
"426","(1990-01-29)29 January 1990 (aged 31)"
"427","(1997-01-23)23 January 1997 (aged 24)"
"428","(1991-05-05)5 May 1991 (aged 30)"
"429","(1989-08-19)19 August 1989 (aged 31)"
"430","(1990-06-13)13 June 1990 (aged 30)"
"431","(1988-02-03)3 February 1988 (aged 33)"
"432","(1999-04-07)7 April 1999 (aged 22)"
"433","(1998-03-23)23 March 1998 (aged 23)"
"434","(1992-07-12)12 July 1992 (aged 28)"
"435","(1995-04-12)12 April 1995 (aged 26)"
"436","(1994-05-20)20 May 1994 (aged 27)"
"437","(1998-04-22)22 April 1998 (aged 23)"
"438","(1985-04-18)18 April 1985 (aged 36)"
"439","(1997-03-14)14 March 1997 (aged 24)"
"440","(1992-12-28)28 December 1992 (aged 28)"
"441","(1995-09-09)9 September 1995 (aged 25)"
"442","(1999-01-23)23 January 1999 (aged 22)"
"443","(1989-01-15)15 January 1989 (aged 32)"
"444","(1986-10-30)30 October 1986 (aged 34)"
"445","(1996-04-10)10 April 1996 (aged 25)"
"446","(1995-12-11)11 December 1995 (aged 25)"
"447","(1995-12-02)2 December 1995 (aged 25)"
"448","(1991-01-29)29 January 1991 (aged 30)"
"449","(1989-11-30)30 November 1989 (aged 31)"
"450","(1994-12-05)5 December 1994 (aged 26)"
"451","(1999-11-18)18 November 1999 (aged 21)"
"452","(2002-06-07)7 June 2002 (aged 19)"
"453","(1997-09-09)9 September 1997 (aged 23)"
"454","(1985-05-21)21 May 1985 (aged 36)"
"455","(1992-04-22)22 April 1992 (aged 29)"
"456","(1995-02-11)11 February 1995 (aged 26)"
"457","(1985-09-17)17 September 1985 (aged 35)"
"458","(1997-12-13)13 December 1997 (aged 23)"
"459","(1987-07-27)27 July 1987 (aged 33)"
"460","(1996-05-26)26 May 1996 (aged 25)"
"461","(1987-02-26)26 February 1987 (aged 34)"
"462","(1991-03-08)8 March 1991 (aged 30)"
"463","(1988-06-01)1 June 1988 (aged 33)"
"464","(1994-11-25)25 November 1994 (aged 26)"
"465","(1996-12-13)13 December 1996 (aged 24)"
"466","(1995-03-02)2 March 1995 (aged 26)"
"467","(1996-05-25)25 May 1996 (aged 25)"
"468","(1993-09-13)13 September 1993 (aged 27)"
"469","(1990-11-07)7 November 1990 (aged 30)"
"470","(1989-08-28)28 August 1989 (aged 31)"
"471","(1993-08-16)16 August 1993 (aged 27)"
"472","(1997-01-16)16 January 1997 (aged 24)"
"473","(1988-07-16)16 July 1988 (aged 32)"
"474","(1995-01-30)30 January 1995 (aged 26)"
"475","(1992-10-23)23 October 1992 (aged 28)"
"476","(1992-01-08)8 January 1992 (aged 29)"
"477","(1992-04-07)7 April 1992 (aged 29)"
"478","(1991-04-11)11 April 1991 (aged 30)"
"479","(2000-02-29)29 February 2000 (aged 21)"
"480","(2001-01-09)9 January 2001 (aged 20)"
"481","(1997-11-18)18 November 1997 (aged 23)"
"482","(1995-05-25)25 May 1995 (aged 26)"
"483","(1996-06-22)22 June 1996 (aged 24)"
"484","(1996-04-03)3 April 1996 (aged 25)"
"485","(1989-03-21)21 March 1989 (aged 32)"
"486","(1998-05-07)7 May 1998 (aged 23)"
"487","(1996-01-25)25 January 1996 (aged 25)"
"488","(1997-04-21)21 April 1997 (aged 24)"
"489","(1992-05-11)11 May 1992 (aged 29)"
"490","(1997-06-11)11 June 1997 (aged 24)"
"491","(1994-05-27)27 May 1994 (aged 27)"
"492","(2002-11-25)25 November 2002 (aged 18)"
"493","(1990-01-08)8 January 1990 (aged 31)"
"494","(1986-12-13)13 December 1986 (aged 34)"
"495","(1994-07-17)17 July 1994 (aged 26)"
"496","(1985-04-16)16 April 1985 (aged 36)"
"497","(1988-04-12)12 April 1988 (aged 33)"
"498","(1994-04-21)21 April 1994 (aged 27)"
"499","(1985-06-06)6 June 1985 (aged 36)"
"500","(1989-07-28)28 July 1989 (aged 31)"
"501","(1986-08-17)17 August 1986 (aged 34)"
"502","(1991-10-23)23 October 1991 (aged 29)"
"503","(1999-09-21)21 September 1999 (aged 21)"
"504","(1990-01-28)28 January 1990 (aged 31)"
"505","(1987-02-07)7 February 1987 (aged 34)"
"506","(1993-04-22)22 April 1993 (aged 28)"
"507","(1993-09-30)30 September 1993 (aged 27)"
"508","(1994-08-02)2 August 1994 (aged 26)"
"509","(1992-01-02)2 January 1992 (aged 29)"
"510","(1991-02-13)13 February 1991 (aged 30)"
"511","(1999-01-05)5 January 1999 (aged 22)"
"512","(1995-06-30)30 June 1995 (aged 25)"
"513","(2000-04-25)25 April 2000 (aged 21)"
"514","(1993-10-09)9 October 1993 (aged 27)"
"515","(1989-06-23)23 June 1989 (aged 31)"
"516","(1989-04-08)8 April 1989 (aged 32)"
"517","(1997-06-20)20 June 1997 (aged 23)"
"518","(1999-08-10)10 August 1999 (aged 21)"
"519","(1986-12-26)26 December 1986 (aged 34)"
"520","(1996-03-28)28 March 1996 (aged 25)"
"521","(1995-08-13)13 August 1995 (aged 25)"
"522","(1993-04-25)25 April 1993 (aged 28)"
"523","(1995-06-17)17 June 1995 (aged 25)"
"524","(1993-03-15)15 March 1993 (aged 28)"
"525","(1991-03-21)21 March 1991 (aged 30)"
"526","(1995-11-12)12 November 1995 (aged 25)"
"527","(1986-09-30)30 September 1986 (aged 34)"
"528","(1998-12-20)20 December 1998 (aged 22)"
"529","(1997-05-15)15 May 1997 (aged 24)"
"530","(1994-08-03)3 August 1994 (aged 26)"
"531","(1991-03-29)29 March 1991 (aged 30)"
"532","(1995-04-03)3 April 1995 (aged 26)"
"533","(1994-10-27)27 October 1994 (aged 26)"
"534","(1985-03-28)28 March 1985 (aged 36)"
"535","(1989-08-16)16 August 1989 (aged 31)"
"536","(1993-07-20)20 July 1993 (aged 27)"
"537","(1987-12-19)19 December 1987 (aged 33)"
"538","(1996-06-13)13 June 1996 (aged 24)"
"539","(1996-02-14)14 February 1996 (aged 25)"
"540","(1990-08-12)12 August 1990 (aged 30)"
"541","(1995-07-03)3 July 1995 (aged 25)"
"542","(1994-09-14)14 September 1994 (aged 26)"
"543","(1998-11-12)12 November 1998 (aged 22)"
"544","(1997-08-06)6 August 1997 (aged 23)"
"545","(1986-03-27)27 March 1986 (aged 35)"
"546","(1993-03-03)3 March 1993 (aged 28)"
"547","(1991-09-27)27 September 1991 (aged 29)"
"548","(1994-01-19)19 January 1994 (aged 27)"
"549","(1988-12-16)16 December 1988 (aged 32)"
"550","(1995-02-08)8 February 1995 (aged 26)"
"551","(1999-06-11)11 June 1999 (aged 22)"
"552","(1990-01-04)4 January 1990 (aged 31)"
"553","(1992-07-30)30 July 1992 (aged 28)"
"554","(1995-07-14)14 July 1995 (aged 25)"
"555","(1996-03-06)6 March 1996 (aged 25)"
"556","(1992-03-04)4 March 1992 (aged 29)"
"557","(1992-07-14)14 July 1992 (aged 28)"
"558","(2003-02-26)26 February 2003 (aged 18)"
"559","(1995-09-03)3 September 1995 (aged 25)"
"560","(1996-06-03)3 June 1996 (aged 25)"
"561","(1997-03-16)16 March 1997 (aged 24)"
"562","(1995-02-06)6 February 1995 (aged 26)"
"563","(1996-01-11)11 January 1996 (aged 25)"
"564","(1994-07-05)5 July 1994 (aged 26)"
"565","(1990-10-24)24 October 1990 (aged 30)"
"566","(1990-07-08)8 July 1990 (aged 30)"
"567","(1994-01-12)12 January 1994 (aged 27)"
"568","(1996-07-17)17 July 1996 (aged 24)"
"569","(1989-09-13)13 September 1989 (aged 31)"
"570","(1993-02-28)28 February 1993 (aged 28)"
"571","(1990-05-06)6 May 1990 (aged 31)"
"572","(1993-01-17)17 January 1993 (aged 28)"
"573","(1996-01-04)4 January 1996 (aged 25)"
"574","(1998-01-20)20 January 1998 (aged 23)"
"575","(1990-02-17)17 February 1990 (aged 31)"
"576","(1992-11-03)3 November 1992 (aged 28)"
"577","(1991-01-15)15 January 1991 (aged 30)"
"578","(1995-06-17)17 June 1995 (aged 25)"
"579","(1987-12-09)9 December 1987 (aged 33)"
"580","(1988-01-15)15 January 1988 (aged 33)"
"581","(1994-07-27)27 July 1994 (aged 26)"
"582","(1990-11-16)16 November 1990 (aged 30)"
"583","(1999-04-13)13 April 1999 (aged 22)"
"584","(1988-09-01)1 September 1988 (aged 32)"
"585","(1994-04-08)8 April 1994 (aged 27)"
"586","(1996-03-02)2 March 1996 (aged 25)"
"587","(1990-01-23)23 January 1990 (aged 31)"
"588","(1990-11-30)30 November 1990 (aged 30)"
"589","(1996-03-30)30 March 1996 (aged 25)"
"590","(1997-05-22)22 May 1997 (aged 24)"
"591","(1994-08-25)25 August 1994 (aged 26)"
"592","(1987-09-27)27 September 1987 (aged 33)"
"593","(1987-12-31)31 December 1987 (aged 33)"
"594","(2000-09-27)27 September 2000 (aged 20)"
"595","(1995-03-15)15 March 1995 (aged 26)"
"596","(1999-11-22)22 November 1999 (aged 21)"
"597","(1988-02-15)15 February 1988 (aged 33)"
"598","(1993-11-16)16 November 1993 (aged 27)"
"599","(1983-02-26)26 February 1983 (aged 38)"
"600","(1997-05-14)14 May 1997 (aged 24)"
"601","(1993-12-22)22 December 1993 (aged 27)"
"602","(1983-12-22)22 December 1983 (aged 37)"
"603","(1985-02-05)5 February 1985 (aged 36)"
"604","(1986-09-08)8 September 1986 (aged 34)"
"605","(1995-11-06)6 November 1995 (aged 25)"
"606","(1994-08-10)10 August 1994 (aged 26)"
"607","(1994-09-08)8 September 1994 (aged 26)"
"608","(1990-10-01)1 October 1990 (aged 30)"
"609","(1991-09-09)9 September 1991 (aged 29)"
"610","(1992-04-07)7 April 1992 (aged 29)"
"611","(1993-05-17)17 May 1993 (aged 28)"
"612","(1997-08-18)18 August 1997 (aged 23)"
"613","(1996-11-29)29 November 1996 (aged 24)"
"614","(1997-03-13)13 March 1997 (aged 24)"
"615","(1998-06-28)28 June 1998 (aged 22)"
"616","(1999-03-18)18 March 1999 (aged 22)"
"617","(1996-12-04)4 December 1996 (aged 24)"
"618","(1994-02-07)7 February 1994 (aged 27)"
"619","(1999-11-10)10 November 1999 (aged 21)"
"620","(1992-06-02)2 June 1992 (aged 29)"
"621","(2002-06-19)19 June 2002 (aged 18)"
"622","(1995-07-09)9 July 1995 (aged 25)"
